,files,pop
0,images/0017_cu_2.jpg,0
2,images/0026_makro.jpg,0
4,images/0029_1_Bali.JPG,5
6,images/0053_Makro.png,0
8,images/0062_cu_1.jpg,4
10,images/0079_cu_2.jpg,0
12,images/0095_cu_2.jpg,0
14,images/0132-makro.jpg,0
16,images/0151_cu_2.jpg,0
18,images/0177_cu_2.jpg,0
20,images/0210_cu_1.jpg,0
22,images/0247_cu_1.jpg,4
24,images/0315_cu_2.jpg,0
26,images/0354_cu_2.jpg,0
28,images/0434_cu_1.jpg,5
30,images/0453_cu_2.jpg,4
32,images/0463_cu_2.jpg,4
34,images/047080139.tiff,1
36,images/047200139.tiff,1
38,images/048020138.tiff,1
40,images/048140139.tiff,1
42,images/0483_cu_1.jpg,4
44,images/049080139.tiff,1
46,images/049200139.tiff,1
48,images/0782_cu_1.jpg,0
50,images/0839_cu_1.jpg,0
52,images/0913_cu_2.jpg,0
54,images/1_2.JPG,5
56,images/1001.jpg,0
58,images/1005.jpg,4
60,images/1013.jpg,5
62,images/1047.jpg,5
64,images/1073.jpg,5
66,images/1085.jpg,4
68,images/1088.jpg,0
70,images/11_2.JPG,0
72,images/1172.jpg,5
74,images/13_2.JPG,0
76,images/14091.jpg,0
78,images/1434.jpg,5
80,images/14351.jpg,5
82,images/1448.jpg,5
84,images/1450.jpg,5
86,images/1457.jpg,5
88,images/14591.jpg,5
90,images/1465.jpg,4
92,images/1472.jpg,5
94,images/1552.jpg,5
96,images/156.jpg,5
98,images/1590.jpg,4
100,images/1595.jpg,5
102,images/15952.jpg,5
104,images/15954.jpg,5
106,images/160.jpg,5
108,images/16111.jpg,5
110,images/1613.jpg,0
112,images/17_1.JPG,0
114,images/186.jpg,0
116,images/2_0.JPG,0
118,images/2_36.JPG,0
120,images/20151002_SJENN3_edit_0.05res.jpg,3
122,images/2106.jpg,5
124,images/2160.jpg,5
126,images/2185.jpg,5
128,images/2204.jpg,4
130,images/225.jpg,5
132,images/228.jpg,0
134,images/2295.jpg,4
136,images/2298.jpg,5
138,images/2323.jpg,5
140,images/2326.jpg,0
142,images/2328.jpg,5
144,images/2334.jpg,5
146,images/2345.jpg,5
148,images/2349.jpg,5
150,images/258.jpg,5
152,images/267.jpg,0
154,images/2695.jpg,4
156,images/2697.jpg,5
158,images/2699.jpg,4
160,images/2704.jpg,5
162,images/2706.jpg,5
164,images/2712.jpg,5
166,images/2720.jpg,5
168,images/2729.jpg,5
170,images/2741.jpg,4
172,images/2744.jpg,4
174,images/275.jpg,4
176,images/2751.jpg,5
178,images/279.jpg,5
180,images/283.jpg,4
182,images/3_35.JPG,0
184,images/329.jpg,5
186,images/344.jpg,0
188,images/356.jpg,0
190,images/378.jpg,0
192,images/393.jpg,5
194,images/4.JPG,0
196,images/6_7.JPG,0
198,images/637-5.jpg,5
200,images/655.jpg,4
202,images/658.jpg,0
204,images/671.jpg,5
206,images/722.jpg,5
208,images/739.jpg,3
210,images/802.jpg,0
212,images/811.jpg,0
214,images/863.jpg,5
216,images/888.jpg,5
218,images/9_5.JPG,0
220,images/Barthol_Rotalgen_mak.JPG,0
222,images/bed2.JPG,2
224,images/bed4.JPG,2
226,images/bed6.JPG,2
228,images/Cal_05.tif,2
230,images/Cal_08.tif,2
232,images/Cal_10.tif,2
234,images/Cal_12.tif,2
236,images/Cal_15.tif,2
238,images/Cal_17.tif,2
240,images/Cal_19.tif,2
242,images/Cal_23.tif,3
244,images/Cal_27.tif,2
246,images/Cal_29.tif,2
248,images/CIMG0406_makro.JPG,2
250,images/cs__(1).jpg,5
252,images/cs__(11).jpg,0
254,images/cs__(13).jpg,0
256,images/cs__(15).jpg,0
258,images/cs__(3).jpg,0
260,images/cs__(5).jpg,0
262,images/cs__(7).jpg,0
264,images/CurtainCreekmakro.jpg,0
268,images/Image_4767.JPG_crop.tif,3
270,images/IMG_0053_ccgp_006_ns_Cropped.tif,2
272,images/IMG_0059_ccgp_009_ns_Cropped.tif,2
274,images/IMG_0114_ccgp_285_ws_Cropped.tif,3
276,images/IMG_0202.JPG,3
278,images/IMG_0204.JPG,3
280,images/IMG_0207.JPG,3
282,images/IMG_0209.JPG,5
284,images/IMG_0212.JPG,3
286,images/IMG_0214.JPG,3
288,images/IMG_0217.JPG,3
290,images/IMG_0219.JPG,3
292,images/IMG_0222.JPG,3
294,images/IMG_0224.JPG,3
296,images/IMG_0228.JPG,3
298,images/IMG_0230.JPG,3
