,files,P5,P10,P16,P25,P50,P75,P84,P90,P95
0,images/11_2.JPG,22.917989432463898,36.048923436666705,51.426160004488295,73.11790473218271,130.049755453001,196.39378076064702,226.548902971367,246.787196007559,263.00239127719897
2,images/16.JPG,23.6372318681471,38.772648099886396,53.7342612853961,76.59540587299671,143.179252036731,213.429962104987,237.674769606684,252.93220682433702,265.759105273401
4,images/2_1.JPG,12.059189714416899,18.856621301179,26.4076410659859,39.023332795026704,82.5734755144973,144.37211418097098,171.08536683877702,188.19583975863497,201.66672869509702
6,images/2_8.JPG,14.922531186139699,22.2876816055575,30.9870869432677,44.1096963294007,96.6201421646073,188.767729079752,225.242143608158,246.764530294348,263.031953984714
8,images/4_75.JPG,17.113951164243602,25.5147581004663,34.572191699141506,49.12673452533811,106.53230678032699,186.735408378702,222.694726078855,244.69723515068299,261.827371177641
10,images/5_6.JPG,17.7493950270417,26.5892122313804,35.842334565504,51.3915555702853,105.45865815558201,173.549097842005,205.09600984091,229.668559595627,253.337166694825
12,images/8.JPG,21.1484696874059,33.5395511369876,46.9365380955166,66.4090021600853,127.724221378004,205.124999891811,232.626578005358,250.23077367256002,264.56285110335097
14,images/BarPhotos_2013_Site3_Frame2_crop.JPG,20.727754976833502,34.1626259963164,49.7402355881054,73.6473198987893,152.602953270066,304.518323149019,386.35429973466904,458.944413208127,530.6123676769851
16,images/bed2.JPG,21.3142214256774,37.405472786545,57.180367381810505,88.257295732514,191.781118148361,308.37767976686297,372.44970912416704,419.87277392345595,458.936753705802
18,images/bed4.JPG,16.4000081140691,27.960047918281496,43.267198753359395,69.8963660298907,169.618507176471,311.28249889552603,380.381624882586,425.972078814665,462.030946324935
20,images/bed6.JPG,21.423716506372898,35.9638813346775,53.52323706704411,81.4724905739353,194.70421531771802,345.592115513269,406.137235892246,441.791485712917,469.80632500054395
22,images/IMG_0202.JPG,13.3368786929479,19.9858024349714,27.4895385288827,38.6937973168135,80.36158023818409,142.48574109072598,178.27381280244302,222.42295429903302,294.813057399476
24,images/IMG_0204.JPG,13.620742282644699,20.2828338451448,27.9106439370475,39.310232604825394,76.690624123467,133.977814149923,173.36251046813302,214.93425675042099,269.295491308123
26,images/IMG_0207.JPG,11.5015979727428,16.630143663650998,22.400036501636702,31.4149542746737,62.093462732831604,112.064491934417,151.530116163204,196.635151701087,257.62783845184896
28,images/IMG_0209.JPG,11.659607711412,16.885317880142697,22.931956024327196,32.0249828732171,61.3106319654399,112.888758156215,152.548659090138,193.939788545362,249.066547893159
30,images/IMG_0212.JPG,9.98831890349768,14.0512919359678,18.6734754585597,25.9698385427223,49.5031297094281,91.380843146934,128.658265327286,179.193999061453,249.974522403409
32,images/IMG_0214.JPG,10.4257765800151,14.564823148399801,19.2495681263447,26.3018405943954,49.418963167261,91.43756942879791,124.112177899957,163.86139824453198,239.79965747714297
34,images/IMG_0217.JPG,8.55890091038834,11.346134513640301,14.6015079586184,19.720292074154397,36.393436708565105,71.0655443965226,103.25296613937901,145.376813347167,220.449771145623
36,images/IMG_0219.JPG,8.838801262914108,11.7778872477075,15.1401059269252,20.4187231310008,37.589356584979996,74.05427321828041,107.83890487613,156.772192030331,233.588189039637
38,images/IMG_0222.JPG,7.95290351066871,10.213794712238599,12.9952333790048,17.4383593371589,31.8067298853692,63.266307521634,92.2678086197715,135.823001677277,217.685868244969
40,images/IMG_0224.JPG,7.98197968806942,10.2620385799327,13.036752535836001,17.3871633239008,31.754736223997103,64.4394071096375,97.48030096219459,146.496319048375,228.072358780689
42,images/IMG_0228.JPG,7.468715889815821,9.3707147535745,11.7743395467365,15.387903174869301,27.499523530563003,55.3143177706435,84.1196200761153,125.810367185084,206.858670318185
44,images/IMG_0230.JPG,7.530707064692759,9.50589822994308,11.9565369115971,15.691802545215001,27.7620741802646,56.03449757886539,84.6591166378648,128.288370624142,206.707190842074
46,images/IMG_0242.JPG,6.8453848511721205,8.21096522373119,9.97934881591044,12.831298645948902,23.3881868266221,52.440252496457006,85.370475891457,138.21047797906098,230.199460210646
48,images/IMG_0244.JPG,6.89049020319671,8.29491608502712,10.0525497375614,12.8697205277214,23.352815695008395,52.0069090592457,88.1834327108118,145.04664648261002,242.885023515993
50,images/IMG_0247.JPG,6.048588565811371,7.78170924612121,9.20058679378426,11.5279088489819,21.304518936262898,53.9934755102145,96.9884661402656,163.029042763012,259.88189957928904
52,images/IMG_0249.JPG,6.353078676431579,7.88211341886869,9.35144808496522,11.7175026716104,21.4384328288395,53.0272712990835,94.6183572742054,157.52914193587,256.570137829197
54,images/IMG_0252.JPG,5.037177873922389,7.4080992362837,8.62408828088282,10.6944469219416,20.220453984224697,57.65857036144771,112.41348046920099,187.28844882352797,279.154744338667
56,images/IMG_0254.JPG,4.89386986718039,7.351545594942219,8.52478785466661,10.5194789968416,20.018559366388498,54.653595215489794,104.919788113966,175.96536759694303,273.71919213175397
58,images/IMG_1576_250microns.JPG,7.1646736304836,8.82625151543186,10.7720241103876,13.6825122404722,24.050092657554103,48.957303607069996,75.3053537346283,118.01190740678001,210.576994280844
60,images/IMG_1578_355microns.JPG,7.23880131053365,9.03954593232487,11.333412258737098,15.0064102382415,27.8546265791465,57.056913527588904,85.90046704252501,133.27644141215902,223.892829444538
62,images/IMG_1580_355microns.JPG,7.28957000336587,9.14896426007796,11.545978018143598,15.2448572544616,27.910093707312104,58.0587536548754,88.7507633690388,136.859902421143,234.51804943618598
64,images/IMG_1582_500microns.JPG,7.59677964436339,9.72200705046563,12.488588232452098,17.0608613091112,33.850375318629396,70.2265762134671,104.94304077875799,153.94386735072598,247.944026661153
66,images/IMG_1584_710microns.JPG,8.03780945041464,10.6129927541115,13.9461517438178,19.8367915922248,40.9038961865031,84.1727352527351,121.011435223874,169.412101198373,253.69034056826402
68,images/IMG_1586_710microns.JPG,8.01435805726335,10.579897886347199,13.9738609238835,19.722291444406398,40.9918336653332,83.5685157949558,123.58866777025801,178.613692935503,270.014124322215
70,images/IMG_1588_1000microns.JPG,8.65931804514509,11.8565157148977,15.9845300348313,22.9926832448876,49.0232920043865,99.2924965211616,139.091628541644,185.842643541633,268.816492466245
72,images/IMG_1590_1400microns.JPG,9.49504595314583,13.6004747793477,18.8666435534003,27.879727414755997,64.51973541745829,123.581080070249,170.598678385343,222.767897296128,307.25782841363997
74,images/IMG_1592_1400microns.JPG,9.370842573984971,13.345402702996,18.5189694427715,27.442466393224898,62.78848855406489,127.95717659093599,182.60244075590697,237.91482227518398,317.718988748251
76,images/IMG_9345.JPG,16.5986091945575,26.4022514167631,38.5378112872377,60.048472892907704,153.983849719375,297.577835392395,374.472583616337,437.962975859547,493.554024039115
