,files,P5,P10,P16,P25,P50,P75,P84,P90,P95
0,images/3_35.JPG,14.221725774874198,21.6120157262043,30.6747413162319,45.173628272366294,100.88485157695,180.94591723359798,215.230812845501,240.12693240602403,259.869015344856
2,images/2_1.JPG,12.059189714416899,18.856621301179,26.4076410659859,39.023332795026704,82.5734755144973,144.37211418097098,171.08536683877702,188.19583975863497,201.66672869509702
4,images/IMG_9394.JPG,15.036900132365599,23.449790153858,33.0817256117081,49.310544697538006,121.53766380472901,266.693184856088,345.88891601631104,410.25602481222097,474.756506365023
6,images/bed5.JPG,17.752814255054897,31.643009930256902,49.991580411250105,82.3087526149733,196.398060683919,332.59727883926,392.761290405979,433.96434493657097,466.17430146811097
8,images/5_6.JPG,17.7493950270417,26.5892122313804,35.842334565504,51.3915555702853,105.45865815558201,173.549097842005,205.09600984091,229.668559595627,253.337166694825
10,images/seriesC2_endrun_19.JPG,18.0705513100741,28.6489016096491,40.9620125032411,59.4387044826657,107.34814394811701,181.06446531367803,215.485998328371,240.385522979681,260.07059063317797
12,images/11_2.JPG,22.917989432463898,36.048923436666705,51.426160004488295,73.11790473218271,130.049755453001,196.39378076064702,226.548902971367,246.787196007559,263.00239127719897
14,images/4_75.JPG,17.113951164243602,25.5147581004663,34.572191699141506,49.12673452533811,106.53230678032699,186.735408378702,222.694726078855,244.69723515068299,261.827371177641
16,images/bed3.JPG,18.713442037769898,31.5652334740943,48.698897824051,75.483136615258,177.259745329792,310.184877658863,374.40135112864306,422.488412085811,460.729517522342
18,images/2_36.JPG,13.8839574421998,20.3114502345227,27.1583716191152,38.0090855439977,80.93965424964401,168.523202876329,204.865732288985,232.083433789436,255.606309385472
20,images/IMG_9345.JPG,16.5986091945575,26.4022514167631,38.5378112872377,60.048472892907704,153.983849719375,297.577835392395,374.472583616337,437.962975859547,493.554024039115
22,images/bed6.JPG,21.423716506372898,35.9638813346775,53.52323706704411,81.4724905739353,194.70421531771802,345.592115513269,406.137235892246,441.791485712917,469.80632500054395
24,images/2_0.JPG,11.918908199733698,18.0743251454699,25.095901414939604,36.7478032360649,86.7361865940353,172.608514257609,212.16037054654302,239.08284859320702,259.426136014278
26,images/IMG_9396.JPG,20.8407095927839,31.0152840869199,41.963577324211705,59.08987041570029,121.36555124774999,235.310207264604,310.653833997592,388.177142849825,467.86323899833803
28,images/seriesC2_endrun_17.JPG,19.7821602670665,31.3575980340825,43.7068276809976,60.8282844877841,118.573402125103,197.329033692917,225.985477225933,245.30406971582698,261.736630671253
30,images/IMG_9335.JPG,15.7416416518082,26.5185931504156,40.6322542803319,64.30672840567411,151.576455130187,309.510425959915,387.12321104642996,446.288050628635,496.599043418212
32,images/seriesC2_endrun_20.JPG,16.6472691597513,27.064145882758304,38.9983500984775,58.1802272702919,113.732902762365,176.650273652537,208.443165595759,233.726107355687,256.281602517041
34,images/seriesC2_endrun_18.JPG,16.1078174492916,25.188675008436302,36.0886238483225,51.2778030819338,100.57174810826099,178.651950591707,214.409266247799,239.434186588145,259.39763400987704
