,Unnamed: 0,P5,P10,P16,P25,P50,P75,P84,P90,P95
0,images/1_2.JPG,16.2870974478102,24.495652974242397,33.1981174034627,45.6370660473934,87.7229255884688,156.171100512725,185.15407290395,207.41957090382598,230.380152639613
2,images/11_2.JPG,15.1416425277966,24.500724383372397,36.001051208765205,53.5853773698742,115.97375834711,194.44386946738098,229.71459173033,256.89822318911,283.48096422125
4,images/16.JPG,14.4295190347807,23.6297088586539,35.047787674907106,54.1421949504222,113.800159967774,200.47120027570702,235.299487798139,262.376591981936,287.961982847209
6,images/2_0.JPG,9.840179069821447,14.056999665474804,19.1066625244545,27.0280811113206,56.641022036110705,123.791690706962,172.84225117758203,215.715969215797,259.444909987314
8,images/2_36.JPG,12.2006230152477,17.3487216027608,23.1764993073014,31.918140265141396,61.82023545282121,122.707501298069,170.364245225389,217.562448722117,263.38231210143397
10,images/3_35.JPG,11.4157185106102,16.5853262288735,22.6976010497836,32.2577169947078,70.2297186359405,145.701656165888,195.114379423356,232.473763893338,270.418308838006
12,images/4.JPG,13.107879551301,19.3998486135424,26.6460494472365,37.5903305838515,75.6786112775092,150.290420281529,193.16712236908901,228.887682784888,265.45275102017104
14,images/6_7.JPG,14.968392368792903,23.164456285229893,32.4369945127275,46.0465823492999,91.07084340425706,175.46229244404304,215.723773003251,247.039426572875,277.602019775871
16,images/9_5.JPG,15.108814278675402,24.4286500049394,35.213320411667205,50.59833785555311,101.072739691362,181.908297294528,217.34047057053002,245.359721980075,276.405339252548
18,images/IMG_0202.JPG,22.7723850481215,33.640582614169105,45.18951907345939,63.9845134301083,117.356780111226,187.294887066143,239.82303468496,293.253321882982,340.52105910989496
20,images/IMG_0204.JPG,22.7593321911768,33.6459657361647,45.0839833409828,61.94779329439511,107.527750112241,182.17816091064495,226.75793580486197,267.148530164986,319.393120502258
22,images/IMG_0207.JPG,18.5173246951388,27.069636818034898,36.59469175024249,50.4099048278497,91.0004431931698,167.16212379581899,215.768142634886,261.622657439325,318.429855482513
24,images/IMG_0209.JPG,18.777626090304,27.543256248646607,36.836643329145296,49.9413900754558,89.88808895211098,166.17498433882,210.41739718783,252.067355313247,311.451412094205
26,images/IMG_0212.JPG,15.459427981691599,22.387299632028302,30.2634741407768,41.1140608529079,74.86626766412641,152.44589290577,210.03199108506303,262.767071707728,323.831662172523
28,images/IMG_0214.JPG,15.814417456503401,22.6327892062352,29.9663504282895,40.5696575484213,74.3029615575408,140.467315257432,192.46941254972802,254.286039870602,319.168474901513
30,images/IMG_0217.JPG,12.121153842461801,17.0859068167049,22.596532493174,30.3951040015167,58.61596340197461,128.85544268822,183.845566177349,247.486954856975,318.977202524259
32,images/IMG_0219.JPG,12.6035790396877,17.7486969100882,23.369696405573503,31.4246422874008,60.9261896379109,137.024992283397,199.647870985632,254.860020996922,316.827363418456
34,images/IMG_0222.JPG,10.805976522762101,15.160902078957903,19.873874883901998,26.6347774888445,52.555645810066785,121.919616390453,186.03623359368598,251.91525963093497,319.576076152679
36,images/IMG_0224.JPG,10.9019065200519,15.229769709260399,19.940750050560602,26.7765190373348,54.199075445005704,132.955160305066,196.97991553513,264.215877241408,329.24627412514803
38,images/IMG_0228.JPG,9.790569988093653,13.4578778319452,17.3235020841559,23.126660430471894,46.4227509907682,115.97078027089898,180.226550393565,244.817039158462,312.21671411305
40,images/IMG_0230.JPG,9.941661169060499,13.687807427801399,17.6569852457638,23.374732031227197,47.0881247835807,118.031554361049,179.916895093068,245.335296452284,317.38899779834
42,images/IMG_0242.JPG,8.561393790457599,11.474899921312199,14.819135982792,20.1789578201431,46.5053843581944,137.152062807723,210.670323886149,275.931587761952,335.628654461618
44,images/IMG_0244.JPG,8.65751148716579,11.544433758213199,14.909454575836596,20.326277664678603,46.5490919621304,146.361480814404,224.28863057431,289.8392829313661,344.221788655
46,images/IMG_0247.JPG,8.12540230029119,10.560305441969,13.6069940359841,19.0620206143926,51.3282785768291,169.370432439885,244.83244607401696,302.051068355802,349.577057791072
48,images/IMG_0249.JPG,8.21781598202584,10.695652853478698,13.7136819308535,19.0362857144753,49.765799722153304,163.88911770359,241.570224091154,300.104076804126,348.92255892170306
