,files,P5,P10,P16,P25,P50,P75,P84,P90,P95
0,images/IMG_1586_710microns.JPG,8.01435805726335,10.579897886347199,13.9738609238835,19.722291444406398,40.9918336653332,83.5685157949558,123.58866777025801,178.613692935503,270.014124322215
2,images/IMG_1583_500microns.JPG,7.56198443230392,9.71952593824532,12.513247733842,17.038783435485698,33.1080137915967,67.63392202043961,102.47505570280501,152.574675285782,238.50656899089802
4,images/IMG_0217.JPG,8.55890091038834,11.346134513640301,14.6015079586184,19.720292074154397,36.393436708565105,71.0655443965226,103.25296613937901,145.376813347167,220.449771145623
6,images/IMG_1590_1400microns.JPG,9.49504595314583,13.6004747793477,18.8666435534003,27.879727414755997,64.51973541745829,123.581080070249,170.598678385343,222.767897296128,307.25782841363997
8,images/IMG_0220.JPG,8.622218007743701,11.4211338008851,14.688592491733198,19.8355509057679,36.628299769777605,72.6542775108019,106.14387424032199,149.744345168223,229.353507500688
10,images/IMG_0215.JPG,10.0310594475213,13.986809986774,18.487167173888,25.4507245313162,48.2654359142887,89.1293034436746,122.69896946400401,165.858127092609,235.89539018749198
12,images/IMG_1581_500microns.JPG,7.45983555432636,9.45209594314473,12.0916151692307,16.4847226525257,32.0965028726753,67.37470997720179,100.957584398862,148.984835864678,244.982343447999
14,images/IMG_1576_250microns.JPG,7.1646736304836,8.82625151543186,10.7720241103876,13.6825122404722,24.050092657554103,48.957303607069996,75.3053537346283,118.01190740678001,210.576994280844
16,images/IMG_0253.JPG,5.027976587789951,7.4129044194552005,8.6492120596237,10.760856519370401,20.367241822170104,58.0025354071328,111.753673143573,182.857991671836,275.920451553233
18,images/IMG_0218.JPG,8.816557919901221,11.766769012966302,15.136555504686502,20.4085756196433,37.3803631297138,72.4821987550069,106.891286061607,153.038619143394,233.84072078578998
20,images/IMG_1577_250microns.JPG,7.1483793171575405,8.75298110668447,10.6374122239823,13.4952416314062,23.625324632292,47.416702054699606,72.43262833652909,110.26609856375299,196.241980426156
22,images/IMG_0212.JPG,9.98831890349768,14.0512919359678,18.6734754585597,25.9698385427223,49.5031297094281,91.380843146934,128.658265327286,179.193999061453,249.974522403409
24,images/IMG_0251.JPG,5.14528411842496,7.45546987431824,8.71631332927922,10.865425686069301,21.039130966539602,64.4774631515045,124.20545909958,199.038076620325,289.45007627811697
26,images/IMG_0243.JPG,6.86030768205557,8.22917714288958,9.97269956306859,12.8515541595046,23.642770905952396,54.222354868554106,92.16361408118419,152.37787897549802,249.921090264403
28,images/IMG_0228.JPG,7.468715889815821,9.3707147535745,11.7743395467365,15.387903174869301,27.499523530563003,55.3143177706435,84.1196200761153,125.810367185084,206.858670318185
30,images/IMG_0225.JPG,8.095416660439192,10.471006663142001,13.366531634955699,17.9336418704105,32.7690445407837,64.93712437527121,97.7833466800731,144.938848334562,230.35425233123698
32,images/IMG_0205.JPG,13.173719054443099,19.7548026401793,27.4167206498737,38.6699355669061,72.8814259542174,129.869666154383,168.72336972251802,211.783165159524,273.443745726516
34,images/IMG_1587_1000microns.JPG,8.46348334945167,11.557528095617302,15.604973058357,22.5616657023331,47.99855334952289,97.3439226932238,135.888691679065,185.900988773733,261.624944794538
36,images/IMG_0244.JPG,6.89049020319671,8.29491608502712,10.0525497375614,12.8697205277214,23.352815695008395,52.0069090592457,88.1834327108118,145.04664648261002,242.885023515993
38,images/IMG_0207.JPG,11.5015979727428,16.630143663650998,22.400036501636702,31.4149542746737,62.093462732831604,112.064491934417,151.530116163204,196.635151701087,257.62783845184896
40,images/IMG_0210.JPG,11.421490970413101,16.447154449085602,22.218886594809,30.9601573213708,59.892273365893296,110.811018270246,146.81776812342,189.064419252635,253.70932318352502
42,images/IMG_0229.JPG,7.48995352025719,9.41317213094889,11.768271473059098,15.3641887733652,27.345098580780203,55.973802813148495,85.20001663866441,128.036624362145,208.16951123111198
44,images/IMG_0230.JPG,7.530707064692759,9.50589822994308,11.9565369115971,15.691802545215001,27.7620741802646,56.03449757886539,84.6591166378648,128.288370624142,206.707190842074
46,images/IMG_0231.JPG,7.57686636003605,9.572255657832269,11.984301475528,15.662131829644,28.0441751335275,55.0786258286753,82.08627713567009,126.970951022556,205.886647621124
48,images/IMG_0247.JPG,6.048588565811371,7.78170924612121,9.20058679378426,11.5279088489819,21.304518936262898,53.9934755102145,96.9884661402656,163.029042763012,259.88189957928904
50,images/IMG_0204.JPG,13.620742282644699,20.2828338451448,27.9106439370475,39.310232604825394,76.690624123467,133.977814149923,173.36251046813302,214.93425675042099,269.295491308123
52,images/IMG_0249.JPG,6.353078676431579,7.88211341886869,9.35144808496522,11.7175026716104,21.4384328288395,53.0272712990835,94.6183572742054,157.52914193587,256.570137829197
