files,mm_pixel,d1,d5,d10,d16,d25,d50,d75,d84,d90,d95,p5,p10,p16,p25,p50,p75,p84,p90,p95
images\mattole_images\MB_201907_01\DSCN3054a.JPG,0.046391304347826,167.428571428571,279.6875,356.925207756233,440.027700831025,541.910256410256,786.335012594459,1230.87679516251,1676.82584269663,2427.48091603053,4562.81407035175,12.9750679347826,16.5582259424305,20.4134589907262,25.1399236343367,36.4791068886212,57.1019800190608,77.7901380068393,112.614005974112,211.674896220231
images\mattole_images\MB_201907_01\DSCN3054b.JPG,0.046391304347826,167.428571428571,279.6875,356.925207756233,440.027700831025,541.910256410256,786.335012594459,1230.87679516251,1676.82584269663,2427.48091603053,4562.81407035175,12.9750679347826,16.5582259424305,20.4134589907262,25.1399236343367,36.4791068886212,57.1019800190608,77.7901380068393,112.614005974112,211.674896220231
images\mattole_images\MB_201907_01\DSCN3054c.JPG,0.046391304347826,167.428571428571,279.6875,356.925207756233,440.027700831025,541.910256410256,786.335012594459,1230.87679516251,1676.82584269663,2427.48091603053,4562.81407035175,12.9750679347826,16.5582259424305,20.4134589907262,25.1399236343367,36.4791068886212,57.1019800190608,77.7901380068393,112.614005974112,211.674896220231
images\mattole_images\MB_201907_02\DSCN3060a.JPG,0.052368098159509,278.395061728395,1329.921875,2333.23657474601,2963.86206896552,3708.68965517241,8454.05405405405,16710.1265822785,22080.8318264014,29160.8163265306,40570.3275529865,69.6454792944785,122.187161975656,155.211819758832,194.217023905225,442.722732548499,875.077549118585,1156.3311685286,1527.09649179917,2124.59089565824
images\mattole_images\MB_201907_02\DSCN3060b.JPG,0.052368098159509,278.395061728395,1329.921875,2333.23657474601,2963.86206896552,3708.68965517241,8454.05405405405,16710.1265822785,22080.8318264014,29160.8163265306,40570.3275529865,69.6454792944785,122.187161975656,155.211819758832,194.217023905225,442.722732548499,875.077549118585,1156.3311685286,1527.09649179917,2124.59089565824
images\mattole_images\MB_201907_02\DSCN3060c.JPG,0.052368098159509,278.395061728395,1329.921875,2333.23657474601,2963.86206896552,3708.68965517241,8454.05405405405,16710.1265822785,22080.8318264014,29160.8163265306,40570.3275529865,69.6454792944785,122.187161975656,155.211819758832,194.217023905225,442.722732548499,875.077549118585,1156.3311685286,1527.09649179917,2124.59089565824
images\mattole_images\MB_201907_03\DSCN3070a.JPG,0.149754385964912,159.736842105263,232.165605095541,263.838310269483,285.688273852877,318.463219227968,448.83064516129,701.707317073171,1344.22459893048,23964.5161290322,38554.7652916074,34.767817633255,39.5109441484264,42.7830720282133,47.6912638478936,67.2143576683644,105.083748395379,201.303529411765,3588.79139784945,5773.74520226598
images\mattole_images\MB_201907_03\DSCN3070b.JPG,0.149754385964912,159.736842105263,232.165605095541,263.838310269483,285.688273852877,318.463219227968,448.83064516129,701.707317073171,1344.22459893048,23964.5161290322,38554.7652916074,34.767817633255,39.5109441484264,42.7830720282133,47.6912638478936,67.2143576683644,105.083748395379,201.303529411765,3588.79139784945,5773.74520226598
images\mattole_images\MB_201907_03\DSCN3070c.JPG,0.149754385964912,159.736842105263,232.165605095541,263.838310269483,285.688273852877,318.463219227968,448.83064516129,701.707317073171,1344.22459893048,23964.5161290322,38554.7652916074,34.767817633255,39.5109441484264,42.7830720282133,47.6912638478936,67.2143576683644,105.083748395379,201.303529411765,3588.79139784945,5773.74520226598
images\mattole_images\MB_201907_04\DSCN3083a.JPG,0.09359649122807,191.666666666667,274.542829643888,322.666025024062,397.447447447447,523.871136720796,1077.13701431493,12952.380952381,18790.4411764706,22430.1470588235,28531.5508021391,25.6962455464937,30.2004077807609,37.1996865286339,49.0325002527271,100.816245111757,1212.29741019215,1758.7193627451,2099.3830624355,2670.45304437565
images\mattole_images\MB_201907_04\DSCN3083b.JPG,0.09359649122807,191.666666666667,274.542829643888,322.666025024062,397.447447447447,523.871136720796,1077.13701431493,12952.380952381,18790.4411764706,22430.1470588235,28531.5508021391,25.6962455464937,30.2004077807609,37.1996865286339,49.0325002527271,100.816245111757,1212.29741019215,1758.7193627451,2099.3830624355,2670.45304437565
images\mattole_images\MB_201907_04\DSCN3083c.JPG,0.09359649122807,191.666666666667,274.542829643888,322.666025024062,397.447447447447,523.871136720796,1077.13701431493,12952.380952381,18790.4411764706,22430.1470588235,28531.5508021391,25.6962455464937,30.2004077807609,37.1996865286339,49.0325002527271,100.816245111757,1212.29741019215,1758.7193627451,2099.3830624355,2670.45304437565
images\mattole_images\MB_201907_05\DSCN3100a.JPG,0.056010498687664,160.889830508475,261.560693641619,319.364161849711,402.018633540373,560.938511326861,1521.28909952607,3075.71545380213,3958.78986099755,5026.20689655172,6759.8971722365,14.6501448879584,17.8877459681702,22.5172641463296,31.4184457525334,85.2081611125626,172.272356388812,221.733794314141,281.520354783238,378.625211694296
images\mattole_images\MB_201907_05\DSCN3100b.JPG,0.056010498687664,160.889830508475,261.560693641619,319.364161849711,402.018633540373,560.938511326861,1521.28909952607,3075.71545380213,3958.78986099755,5026.20689655172,6759.8971722365,14.6501448879584,17.8877459681702,22.5172641463296,31.4184457525334,85.2081611125626,172.272356388812,221.733794314141,281.520354783238,378.625211694296
images\mattole_images\MB_201907_05\DSCN3100c.JPG,0.056010498687664,160.889830508475,261.560693641619,319.364161849711,402.018633540373,560.938511326861,1521.28909952607,3075.71545380213,3958.78986099755,5026.20689655172,6759.8971722365,14.6501448879584,17.8877459681702,22.5172641463296,31.4184457525334,85.2081611125626,172.272356388812,221.733794314141,281.520354783238,378.625211694296
images\mattole_images\MB_201907_06\DSCN3109a.JPG,0.109435897435897,210,282.1608040201,332.412060301508,387.346221441125,466.432337434095,722.041522491349,4882.65682656826,7529.98776009792,10964.2105263158,22442.8571428571,30.878520809174,36.3778121376112,42.3895813618134,51.0444414402235,79.0172619998225,534.337931687009,824.050968207639,1199.87821862348,2456.05421245421
images\mattole_images\MB_201907_06\DSCN3109b.JPG,0.109435897435897,210,282.1608040201,332.412060301508,387.346221441125,466.432337434095,722.041522491349,4882.65682656826,7529.98776009792,10964.2105263158,22442.8571428571,30.878520809174,36.3778121376112,42.3895813618134,51.0444414402235,79.0172619998225,534.337931687009,824.050968207639,1199.87821862348,2456.05421245421
images\mattole_images\MB_201907_06\DSCN3109c.JPG,0.109435897435897,210,282.1608040201,332.412060301508,387.346221441125,466.432337434095,722.041522491349,4882.65682656826,7529.98776009792,10964.2105263158,22442.8571428571,30.878520809174,36.3778121376112,42.3895813618134,51.0444414402235,79.0172619998225,534.337931687009,824.050968207639,1199.87821862348,2456.05421245421
images\mattole_images\MB_201907_07\DSCN3117a.JPG,0.040803059273423,175.194174757282,252.807646356033,267.741935483871,285.663082437276,312.544802867384,385.736137667304,457.437858508604,483.250478011472,507.336244541485,1256.24999999999,10.3153253790397,10.9246900635293,11.6559276849168,12.752784116998,15.7392144891401,18.6648640546341,19.7180978982119,20.7008708575818,51.2588432122367
